-5.89	  2.22	-0.75
-5.89	  2.22	-0.06
-5.29	  2.64	1.31
-4.47	  3.12	-0.75
-4.47	  3.12	-0.06
-2.92	  3.76	-0.75
-2.92	  3.76	-0.06
-1.90	  4.02	1.31
-1.29	  4.12	-0.75
-1.29	  4.12	-0.06
0.39	 4.20	-0.75
0.39	 4.20	-0.06
1.86	 4.03	1.31
2.05	 3.99	-0.75
2.05	 3.99	-0.06
3.65	 3.50	-0.75
3.65	 3.50	-0.06
5.14	 2.73	-0.75
5.14	 2.73	-0.06
5.31	 2.63	1.31
6.52	 1.69	-0.75
6.52	 1.69	-0.06
5.89	 -2.22	-0.75
5.89	 -2.22	-0.06
5.29	 -2.64	1.31
4.47	 -3.12	-0.75
4.47	 -3.12	-0.06
2.92	 -3.76	-0.75
2.92	 -3.76	-0.06
1.90	 -4.02	1.31
1.29	 -4.12	-0.75
1.29   -4.12	-0.06
-0.39	 -4.20	-0.75
-0.39   -4.20	-0.06
-1.86	  -4.03	1.31
-2.05	  -3.99	-0.75
-2.05	  -3.99	-0.06
-3.65	  -3.50	-0.75
-3.65	  -3.50	-0.06
-5.14	  -2.73	-0.75
-5.14	  -2.73	-0.06
-5.31	  -2.63	1.31
-6.52	  -1.69	-0.75
-6.52	  -1.69	-0.06
-0.30	  0.00	2.02
